chrom	start	end	nSites	recombRate
Pseudochr1	0	33000	561	5.137006263510092e-10
Pseudochr1	33000	66000	644	3.4996636302487904e-10
Pseudochr1	66000	99000	979	4.691233227048772e-10
Pseudochr1	99000	132000	894	9.91387638599079e-10
Pseudochr1	132000	165000	673	9.698018596560195e-10
Pseudochr1	165000	198000	865	8.535894156595262e-10
Pseudochr1	198000	231000	800	8.03313707819684e-10
Pseudochr1	231000	264000	804	5.867317840452488e-10
Pseudochr1	264000	297000	418	5.329135222157643e-10
Pseudochr1	297000	330000	584	2.33552028464977e-10
Pseudochr1	330000	363000	702	1.1496148094202196e-09
Pseudochr1	363000	396000	633	8.261669811506083e-10
Pseudochr1	396000	429000	796	8.858296978731722e-10
Pseudochr1	429000	462000	621	4.826722475758871e-10
Pseudochr1	462000	495000	751	5.383677410902053e-10
Pseudochr1	495000	528000	595	1.0036841699072689e-09
Pseudochr1	528000	561000	658	7.726933832070377e-10
Pseudochr1	561000	594000	959	1.3796044819458088e-09
Pseudochr1	594000	627000	920	9.941318609218241e-10
Pseudochr1	627000	660000	649	9.306313566342562e-10
Pseudochr1	660000	693000	929	1.2461893227398911e-09
Pseudochr1	693000	726000	972	9.710751620535169e-10
Pseudochr1	726000	759000	711	1.2003005886687403e-09
Pseudochr1	759000	792000	707	5.190877212284101e-10
Pseudochr1	792000	825000	672	5.113637321895356e-10
Pseudochr1	825000	858000	537	5.651573514638644e-10
Pseudochr1	858000	891000	548	7.121462933034474e-10
Pseudochr1	891000	924000	588	9.518260698430155e-10
Pseudochr1	924000	957000	640	8.958144961473328e-10
Pseudochr1	957000	990000	646	1.2875381534815727e-09
Pseudochr1	990000	1023000	636	9.773987777412885e-10
Pseudochr1	1023000	1056000	545	2.4267276084893406e-10
Pseudochr1	1056000	1089000	551	5.585871650242959e-10
Pseudochr1	1089000	1122000	517	6.526413262710842e-10
Pseudochr1	1122000	1155000	582	1.0148735701221295e-09
Pseudochr1	1155000	1188000	628	9.601023591121705e-10
Pseudochr1	1188000	1221000	509	8.948862517506885e-10
Pseudochr1	1221000	1254000	450	3.161021820608399e-10
Pseudochr1	1254000	1287000	583	5.495104075704146e-10
Pseudochr1	1287000	1320000	664	8.21557993620848e-10
Pseudochr1	1320000	1353000	472	4.68562849775328e-10
Pseudochr1	1353000	1386000	634	9.472554774055054e-10
Pseudochr1	1386000	1419000	643	4.1959900536836554e-10
Pseudochr1	1419000	1452000	588	3.758277704876771e-10
Pseudochr1	1452000	1485000	593	4.777763443702747e-10
Pseudochr1	1485000	1518000	612	7.570660206032064e-10
Pseudochr1	1518000	1551000	626	7.491544328531977e-10
Pseudochr1	1551000	1584000	608	4.172806968377164e-10
Pseudochr1	1584000	1617000	553	3.778149394976999e-10
Pseudochr1	1617000	1650000	507	4.265537650171807e-10
Pseudochr1	1650000	1683000	459	5.931797533678335e-10
Pseudochr1	1683000	1716000	645	5.697555526900213e-10
Pseudochr1	1716000	1749000	569	1.841120102397049e-10
Pseudochr1	1749000	1782000	510	4.3669372012009887e-10
Pseudochr1	1782000	1815000	472	7.305327923690448e-10
Pseudochr1	1815000	1848000	517	7.708008017824606e-10
Pseudochr1	1848000	1881000	598	1.0609760363549e-09
Pseudochr1	1881000	1914000	570	5.881516764572956e-10
Pseudochr1	1914000	1947000	485	2.558053344008501e-10
Pseudochr1	1947000	1980000	643	5.726359935815433e-10
Pseudochr1	1980000	2013000	601	8.870048241649865e-10
Pseudochr1	2013000	2046000	745	1.0928954467792342e-09
Pseudochr1	2046000	2079000	620	6.670241983537743e-10
Pseudochr1	2079000	2112000	749	6.522365079996897e-10
Pseudochr1	2112000	2145000	778	6.551868109499356e-10
Pseudochr1	2145000	2178000	628	7.00759026646138e-10
Pseudochr1	2178000	2211000	807	1.2171170893876246e-09
Pseudochr1	2211000	2244000	779	4.4003199811380486e-10
Pseudochr1	2244000	2277000	760	4.922173795208573e-10
Pseudochr1	2277000	2310000	614	1.172050668168136e-10
Pseudochr1	2310000	2343000	574	4.167646966676399e-10
Pseudochr1	2343000	2376000	697	7.582131854772179e-10
Pseudochr1	2376000	2409000	537	7.108708543881209e-10
Pseudochr1	2409000	2442000	744	1.0895861466050169e-09
Pseudochr1	2442000	2475000	701	8.288669588856878e-10
Pseudochr1	2475000	2508000	640	3.73745350119679e-10
Pseudochr1	2508000	2541000	605	5.070985788300273e-10
Pseudochr1	2541000	2574000	717	5.836337087356354e-10
Pseudochr1	2574000	2607000	545	5.166978912077134e-10
Pseudochr1	2607000	2640000	638	1.2619432351321778e-09
Pseudochr1	2640000	2673000	416	4.3990762373610034e-10
Pseudochr1	2673000	2706000	780	2.1350383763823586e-09
Pseudochr1	2706000	2739000	750	1.6174901228240729e-09
Pseudochr1	2739000	2772000	857	1.1867340893828688e-09
Pseudochr1	2772000	2805000	655	1.352110173317687e-09
Pseudochr1	2805000	2838000	684	2.0827520185792647e-09
Pseudochr1	2838000	2871000	701	1.5396250624270494e-09
Pseudochr1	2871000	2904000	717	1.8131506002429643e-09
Pseudochr1	2904000	2937000	593	9.705465294624895e-10
Pseudochr1	2937000	2970000	576	8.504135959924016e-10
Pseudochr1	2970000	3003000	368	1.5831515465539527e-10
Pseudochr1	3003000	3036000	541	7.59405237968533e-10
Pseudochr1	3036000	3069000	488	5.82913681484321e-10
Pseudochr1	3069000	3102000	258	4.5075026503300105e-10
Pseudochr1	3102000	3135000	268	1.9705333433157492e-10
Pseudochr1	3135000	3168000	161	1.5609168262489024e-10
Pseudochr1	3168000	3201000	244	1.6933742939307679e-10
Pseudochr1	3201000	3234000	113	1.3224648422027824e-10
Pseudochr1	3234000	3267000	138	1.3472758296377364e-10
Pseudochr1	3267000	3300000	167	2.6322639425159976e-10
Pseudochr1	3300000	3333000	116	6.751854006841911e-11
Pseudochr1	3333000	3366000	121	2.911463262713358e-10
Pseudochr1	3366000	3399000	597	1.1199901850875222e-09
Pseudochr1	3399000	3432000	817	2.1805786480255814e-09
Pseudochr1	3432000	3465000	1123	1.5375321876417126e-09
Pseudochr1	3465000	3498000	1050	1.5527866760271287e-09
Pseudochr1	3498000	3531000	790	9.505957467167997e-10
Pseudochr1	3531000	3564000	705	1.1090416202149463e-09
Pseudochr1	3564000	3597000	731	1.1419482367051421e-09
Pseudochr1	3597000	3630000	761	1.183037104565673e-09
Pseudochr1	3630000	3663000	664	8.283615790760824e-10
Pseudochr1	3663000	3696000	561	7.107809961819474e-10
Pseudochr1	3696000	3729000	740	1.459509211611356e-09
Pseudochr1	3729000	3762000	748	8.569043786431355e-10
Pseudochr1	3762000	3795000	1523	1.7050904237670779e-09
Pseudochr1	3795000	3828000	1676	1.8198369468751857e-09
Pseudochr1	3828000	3861000	1368	1.8007049482874567e-09
Pseudochr1	3861000	3894000	805	1.0003892860426753e-09
Pseudochr1	3894000	3927000	841	9.951337218405621e-10
Pseudochr1	3927000	3960000	888	1.6823441007849603e-09
Pseudochr1	3960000	3993000	865	2.1239386062018644e-09
Pseudochr1	3993000	4026000	888	1.2412693914872852e-09
Pseudochr1	4026000	4059000	545	8.891079459387466e-10
Pseudochr1	4059000	4092000	839	4.772111420614532e-10
Pseudochr1	4092000	4125000	879	1.6423313119091158e-09
Pseudochr1	4125000	4158000	973	1.5938355101069776e-09
Pseudochr1	4158000	4191000	919	9.465722273009005e-10
Pseudochr1	4191000	4224000	668	3.1122527934388286e-10
Pseudochr1	4224000	4257000	662	1.4007150412435696e-09
Pseudochr1	4257000	4290000	932	1.0650625104466385e-09
Pseudochr1	4290000	4323000	887	1.0407542477311729e-09
Pseudochr1	4323000	4356000	828	1.0296643096812713e-09
Pseudochr1	4356000	4389000	947	8.723980533109584e-10
Pseudochr1	4389000	4422000	686	8.122767942278981e-10
Pseudochr1	4422000	4455000	775	7.249326265096924e-10
Pseudochr1	4455000	4488000	851	8.020801695452787e-10
Pseudochr1	4488000	4521000	916	1.1178196074304574e-09
Pseudochr1	4521000	4554000	893	1.8030485631457907e-09
Pseudochr1	4554000	4587000	742	7.555941050191644e-10
Pseudochr1	4587000	4620000	785	9.673509210768307e-10
Pseudochr1	4620000	4653000	988	1.3587116089233683e-09
Pseudochr1	4653000	4686000	1016	1.364323536002227e-09
Pseudochr1	4686000	4719000	927	1.0134292840696256e-09
Pseudochr1	4719000	4752000	656	9.604497610597682e-10
Pseudochr1	4752000	4785000	649	7.829977049825593e-10
Pseudochr1	4785000	4818000	785	1.0325131384060785e-09
Pseudochr1	4818000	4851000	917	7.771942587860647e-10
Pseudochr1	4851000	4884000	403	8.296950512255068e-11
Pseudochr1	4884000	4917000	774	1.4315186085601255e-09
Pseudochr1	4917000	4950000	716	1.1563150952755593e-09
Pseudochr1	4950000	4983000	621	8.317047523921931e-10
Pseudochr1	4983000	5016000	454	9.100094583755155e-10
Pseudochr1	5016000	5049000	721	1.6505761964404714e-09
Pseudochr1	5049000	5082000	517	3.6747477400558823e-10
Pseudochr1	5082000	5115000	596	6.774012861928363e-10
Pseudochr1	5115000	5148000	602	5.56241392905241e-10
Pseudochr1	5148000	5181000	517	5.018574309375379e-10
Pseudochr1	5181000	5214000	625	1.0749800602664096e-09
Pseudochr1	5214000	5247000	629	1.4389058574976565e-09
Pseudochr1	5247000	5280000	754	1.0452991812118419e-09
Pseudochr1	5280000	5313000	891	2.2209994910639016e-09
Pseudochr1	5313000	5346000	742	2.2135767717818285e-09
Pseudochr1	5346000	5379000	343	7.753424164004822e-10
Pseudochr1	5379000	5412000	723	2.1179019269328366e-09
Pseudochr1	5412000	5445000	563	1.40799032005254e-09
Pseudochr1	5445000	5478000	1115	2.1469785655566947e-09
Pseudochr1	5478000	5511000	956	2.207635426842342e-09
Pseudochr1	5511000	5544000	1056	2.2225952831962513e-09
Pseudochr1	5544000	5577000	1539	2.16893856700612e-09
Pseudochr1	5577000	5610000	824	2.2264987634987783e-09
Pseudochr1	5610000	5643000	710	1.2240137974615893e-09
Pseudochr1	5643000	5676000	706	1.590729552498577e-09
Pseudochr1	5676000	5709000	460	1.1053688112378464e-09
Pseudochr1	5709000	5742000	516	5.591804117224865e-10
Pseudochr1	5742000	5775000	610	1.3838888017371048e-09
Pseudochr1	5775000	5808000	674	4.86692219957332e-10
Pseudochr1	5808000	5841000	897	6.81734642179745e-10
Pseudochr1	5841000	5874000	570	6.854285363061005e-10
Pseudochr1	5874000	5907000	1158	1.1484945895623253e-09
Pseudochr1	5907000	5940000	1094	1.0499528489299903e-09
Pseudochr1	5940000	5973000	806	6.906304386477866e-10
Pseudochr1	5973000	6006000	1086	9.56650285615448e-10
Pseudochr1	6006000	6039000	1097	1.0491477965662326e-09
Pseudochr1	6039000	6072000	678	5.729267259494398e-10
Pseudochr1	6072000	6105000	557	5.386099350918861e-10
Pseudochr1	6105000	6138000	635	4.4948353813212344e-10
Pseudochr1	6138000	6171000	751	1.0699097508286859e-09
Pseudochr1	6171000	6204000	952	1.0479950103686124e-09
Pseudochr1	6204000	6237000	720	9.381474189282825e-10
Pseudochr1	6237000	6270000	988	8.077453851125167e-10
Pseudochr1	6270000	6303000	907	1.1101427462411735e-09
Pseudochr1	6303000	6336000	783	9.684907844530185e-10
Pseudochr1	6336000	6369000	560	8.239801825523552e-10
Pseudochr1	6369000	6402000	1062	1.3543637536552696e-09
Pseudochr1	6402000	6435000	847	1.0463463238628228e-09
Pseudochr1	6435000	6468000	555	9.43735948025478e-10
Pseudochr1	6468000	6501000	879	1.2779545486585092e-09
Pseudochr1	6501000	6534000	715	1.349374932666981e-09
Pseudochr1	6534000	6567000	549	6.291882514882413e-10
Pseudochr1	6567000	6600000	777	1.5876206079137938e-09
Pseudochr1	6600000	6633000	417	1.3211435461306947e-09
Pseudochr1	6633000	6666000	653	2.0699724890414463e-09
Pseudochr1	6666000	6699000	395	1.0755026255616603e-09
Pseudochr1	6699000	6732000	387	1.2360301156407576e-09
Pseudochr1	6732000	6765000	868	2.272681401007371e-09
Pseudochr1	6765000	6798000	766	2.2929619749857362e-09
Pseudochr1	6798000	6831000	789	2.252046704384547e-09
Pseudochr1	6831000	6864000	871	1.968016696632591e-09
Pseudochr1	6864000	6897000	660	1.392043641376263e-09
Pseudochr1	6897000	6930000	983	2.1575048362717494e-09
Pseudochr1	6930000	6963000	528	1.5852866177571364e-09
Pseudochr1	6963000	6996000	549	1.0787898656707195e-09
Pseudochr1	6996000	7029000	456	6.677272994055878e-10
Pseudochr1	7029000	7062000	457	3.5581519466807436e-10
Pseudochr1	7062000	7095000	461	8.230427697976481e-10
Pseudochr1	7095000	7128000	682	9.153431817929708e-10
Pseudochr1	7128000	7161000	600	1.5568013174854466e-09
Pseudochr1	7161000	7194000	566	1.3438004672502528e-09
Pseudochr1	7194000	7227000	745	1.6045687948796523e-09
Pseudochr1	7227000	7260000	763	2.11761119456494e-09
Pseudochr1	7260000	7293000	554	6.232481511222473e-10
Pseudochr1	7293000	7326000	708	1.0902048863169164e-09
Pseudochr1	7326000	7359000	530	6.980847700965745e-10
Pseudochr1	7359000	7392000	726	5.923450594120577e-10
Pseudochr1	7392000	7425000	673	4.4184169094376756e-10
Pseudochr1	7425000	7458000	556	4.4345457521875025e-10
Pseudochr1	7458000	7491000	607	1.0448648872915616e-09
Pseudochr1	7491000	7524000	671	4.921771383112597e-10
Pseudochr1	7524000	7557000	440	5.384122968212442e-10
Pseudochr1	7557000	7590000	654	3.837006934878455e-10
Pseudochr1	7590000	7623000	611	4.5569188557157883e-10
Pseudochr1	7623000	7656000	648	4.737279127416298e-10
Pseudochr1	7656000	7689000	504	4.228139876147273e-10
Pseudochr1	7689000	7722000	518	3.5682786263330733e-10
Pseudochr1	7722000	7755000	655	3.3645527318804747e-10
Pseudochr1	7755000	7788000	526	5.293703874251587e-10
Pseudochr1	7788000	7821000	618	7.22137978217601e-10
Pseudochr1	7821000	7854000	478	3.9671760467650614e-10
Pseudochr1	7854000	7887000	715	6.306702896033572e-10
Pseudochr1	7887000	7920000	564	5.863027380765295e-10
Pseudochr1	7920000	7953000	605	6.464291621395845e-10
Pseudochr1	7953000	7986000	592	1.2653073896923635e-10
Pseudochr1	7986000	8019000	570	3.71734617184861e-10
Pseudochr1	8019000	8052000	632	6.174549104283929e-10
Pseudochr1	8052000	8085000	624	4.053899587168237e-10
Pseudochr1	8085000	8118000	591	5.880999851715651e-10
Pseudochr1	8118000	8151000	577	4.011150976840723e-10
Pseudochr1	8151000	8184000	689	1.0454114417408841e-09
Pseudochr1	8184000	8217000	535	5.021594474384349e-10
Pseudochr1	8217000	8250000	567	2.576387570987405e-10
Pseudochr1	8250000	8283000	534	4.095639263250996e-10
Pseudochr1	8283000	8316000	470	3.5414306869483887e-10
Pseudochr1	8316000	8349000	532	4.872005037717536e-10
Pseudochr1	8349000	8382000	481	2.391505348930058e-10
Pseudochr1	8382000	8415000	562	1.7509781334672365e-10
Pseudochr1	8415000	8448000	499	4.3363961974056103e-10
Pseudochr1	8448000	8481000	541	3.171769957291421e-10
